Dataset,Criterion,MaxDepth,Trial,Accuracy,NodeCount,ActualDepth,TrainingTime(ms)
Adult,IGR,0,11,0.811667,1192,15,522.094
Adult,IGR,0,12,0.801667,1125,15,444.445
Adult,IGR,0,13,0.781667,1111,15,400.463
Adult,IGR,0,14,0.806667,1136,15,437.323
Adult,IGR,0,15,0.785,1112,15,420.347
Adult,IGR,0,16,0.801667,1134,15,467.898
Adult,IGR,0,17,0.778333,1085,15,415.628
Adult,IGR,0,18,0.778333,1129,15,475.079
Adult,IGR,0,19,0.77,1191,15,363.053
Adult,IGR,0,20,0.795,1111,15,479.408
Iris,IGR,0,1,1,15,5,9.815
Iris,IGR,0,2,0.933333,15,5,7.568
Iris,IGR,0,3,0.8,17,5,0
Iris,IGR,0,4,0.933333,15,5,0
Iris,IGR,0,5,0.933333,15,5,18.346
Iris,IGR,0,6,0.966667,15,5,5.451
Iris,IGR,0,7,1,15,5,0
Iris,IGR,0,8,0.966667,15,5,13.305
Iris,IGR,0,9,0.9,17,5,0
Iris,IGR,0,10,0.933333,15,5,19.605
Iris,IGR,0,11,0.933333,15,5,3.98
Iris,IGR,0,12,1,15,5,8.566
Iris,IGR,0,13,0.933333,15,5,7.926
Iris,IGR,0,14,1,15,5,13.043
Iris,IGR,0,15,0.933333,15,5,0
Iris,IGR,0,16,0.966667,15,5,11.277
Iris,IGR,0,17,1,15,5,15.993
Iris,IGR,0,18,0.866667,19,5,0
Iris,IGR,0,19,1,15,5,16.033
Iris,IGR,0,20,0.933333,15,5,0
Adult,IGR,2,1,0.776667,3,2,78.889
Adult,IGR,2,2,0.783333,3,2,55.426
Adult,IGR,2,3,0.761667,3,2,68.896
Adult,IGR,2,4,0.77,3,2,73.362
Adult,IGR,2,5,0.758333,3,2,79.652
Adult,IGR,2,6,0.761667,3,2,63.939
Adult,IGR,2,7,0.771667,3,2,62.894
Adult,IGR,2,8,0.75,3,2,63.571
Adult,IGR,2,9,0.771667,3,2,63.711
Adult,IGR,2,10,0.771667,3,2,90.517
Adult,IGR,2,11,0.751667,3,2,78.299
Adult,IGR,2,12,0.778333,3,2,98.103
Adult,IGR,2,13,0.768333,3,2,62.982
Adult,IGR,2,14,0.803333,3,2,65.3
Adult,IGR,2,15,0.775,3,2,62.732
Adult,IGR,2,16,0.753333,3,2,61.743
Adult,IGR,2,17,0.771667,3,2,64.174
Adult,IGR,2,18,0.736667,3,2,88.547
Adult,IGR,2,19,0.761667,3,2,79.18
Adult,IGR,2,20,0.8,3,2,63.08
Iris,IGR,2,1,0.6,3,2,0
Iris,IGR,2,2,0.633333,3,2,0
Iris,IGR,2,3,0.566667,3,2,18.446
Iris,IGR,2,4,0.533333,3,2,1.862
Iris,IGR,2,5,0.566667,3,2,1.744
Iris,IGR,2,6,0.5,3,2,0
Iris,IGR,2,7,0.533333,3,2,0
Iris,IGR,2,8,0.6,3,2,0
Iris,IGR,2,9,0.7,3,2,14.074
Iris,IGR,2,10,0.633333,3,2,6.56
Iris,IGR,2,11,0.533333,3,2,0
Iris,IGR,2,12,0.6,3,2,0
Iris,IGR,2,13,0.6,3,2,14.964
Iris,IGR,2,14,0.4,3,2,0
Iris,IGR,2,15,0.633333,3,2,0
Iris,IGR,2,16,0.6,3,2,0
Iris,IGR,2,17,0.566667,3,2,13.738
Iris,IGR,2,18,0.566667,3,2,0
Iris,IGR,2,19,0.633333,3,2,9.056
Iris,IGR,2,20,0.5,3,2,2.004
Adult,IGR,3,1,0.785,7,3,145.749
Adult,IGR,3,2,0.78,7,3,113.619
Adult,IGR,3,3,0.806667,7,3,111.46
Adult,IGR,3,4,0.761667,11,3,144.288
Adult,IGR,3,5,0.765,7,3,128.516
Adult,IGR,3,6,0.763333,11,3,156.655
Adult,IGR,3,7,0.715,16,3,121.307
Adult,IGR,3,8,0.803333,7,3,131.817
Adult,IGR,3,9,0.773333,16,3,127.771
Adult,IGR,3,10,0.755,7,3,134.224
Adult,IGR,3,11,0.79,11,3,129.612
Adult,IGR,3,12,0.756667,11,3,150.014
Adult,IGR,3,13,0.796667,16,3,138.856
Adult,IGR,3,14,0.78,7,3,126.811
Adult,IGR,3,15,0.811667,20,3,179.904
Adult,IGR,3,16,0.78,7,3,123.847
Adult,IGR,3,17,0.77,11,3,133.514
Adult,IGR,3,18,0.78,7,3,127.266
Adult,IGR,3,19,0.785,7,3,182.418
Adult,IGR,3,20,0.78,11,3,121.421
Iris,IGR,3,1,0.933333,5,3,0
Iris,IGR,3,2,0.933333,5,3,0
Iris,IGR,3,3,0.933333,7,3,16.638
Iris,IGR,3,4,0.866667,5,3,6.842
Iris,IGR,3,5,0.9,5,3,6.806
Iris,IGR,3,6,0.966667,5,3,11.812
Iris,IGR,3,7,1,5,3,1.979
Iris,IGR,3,8,0.866667,5,3,13.873
Iris,IGR,3,9,0.9,5,3,7.689
Iris,IGR,3,10,0.833333,5,3,4.007
Iris,IGR,3,11,1,5,3,2.003
Iris,IGR,3,12,1,5,3,10.214
Iris,IGR,3,13,0.9,5,3,10.377
Iris,IGR,3,14,0.9,5,3,6.172
Iris,IGR,3,15,0.9,5,3,3.202
Iris,IGR,3,16,0.9,5,3,14.786
Iris,IGR,3,17,0.9,5,3,8.125
Iris,IGR,3,18,0.9,5,3,0
Iris,IGR,3,19,0.933333,5,3,14.257
Iris,IGR,3,20,1,5,3,0
Adult,IGR,4,1,0.79,27,4,197.217
Adult,IGR,4,2,0.838333,36,4,227.22
Adult,IGR,4,3,0.796667,46,4,222.217
Adult,IGR,4,4,0.745,15,4,215.912
Adult,IGR,4,5,0.82,27,4,213.479
Adult,IGR,4,6,0.791667,32,4,174.675
Adult,IGR,4,7,0.78,39,4,196.267
Adult,IGR,4,8,0.791667,31,4,185.05
Adult,IGR,4,9,0.825,27,4,238.859
Adult,IGR,4,10,0.758333,28,4,220.566
Adult,IGR,4,11,0.8,32,4,196.902
Adult,IGR,4,12,0.781667,26,4,208.299
Adult,IGR,4,13,0.765,23,4,206.337
Adult,IGR,4,14,0.773333,41,4,204.281
Adult,IGR,4,15,0.785,30,4,182.6
Adult,IGR,4,16,0.783333,34,4,167.597
Adult,IGR,4,17,0.82,69,4,175.422
Adult,IGR,4,18,0.816667,30,4,185.35
Adult,IGR,4,19,0.783333,36,4,190.75
Adult,IGR,4,20,0.786667,37,4,245.676
Iris,IGR,4,1,0.866667,9,4,12.966
Iris,IGR,4,2,0.733333,9,4,9.178
Iris,IGR,4,3,0.933333,9,4,0
Iris,IGR,4,4,0.9,9,4,12.828
Iris,IGR,4,5,0.833333,9,4,6.01
Iris,IGR,4,6,0.833333,9,4,8.255
Iris,IGR,4,7,0.866667,9,4,0
Iris,IGR,4,8,0.866667,9,4,13.076
Iris,IGR,4,9,0.866667,9,4,6.011
Iris,IGR,4,10,0.933333,9,4,8.013
Iris,IGR,4,11,0.833333,9,4,8.227
Iris,IGR,4,12,1,9,4,12.064
Iris,IGR,4,13,0.9,9,4,5.989
Iris,IGR,4,14,0.9,9,4,6.202
Iris,IGR,4,15,0.866667,9,4,8.502
Iris,IGR,4,16,0.933333,9,4,8.147
Iris,IGR,4,17,0.933333,13,4,0
Iris,IGR,4,18,0.866667,9,4,19.552
Iris,IGR,4,19,0.966667,9,4,5.748
Iris,IGR,4,20,0.933333,9,4,6.487
Adult,IGR,5,1,0.818333,66,5,264.971
Adult,IGR,5,2,0.831667,69,5,247.12
Adult,IGR,5,3,0.83,73,5,236.462
Adult,IGR,5,4,0.82,83,5,278.396
Adult,IGR,5,5,0.8,93,5,219.949
Adult,IGR,5,6,0.83,53,5,274.665
Adult,IGR,5,7,0.843333,122,5,236.523
Adult,IGR,5,8,0.828333,68,5,279.499
Adult,IGR,5,9,0.808333,125,5,235.266
Adult,IGR,5,10,0.831667,74,5,237.041
Adult,IGR,5,11,0.796667,100,5,271.788
Adult,IGR,5,12,0.781667,63,5,247.416
Adult,IGR,5,13,0.823333,69,5,222.907
Adult,IGR,5,14,0.836667,71,5,305.578
Adult,IGR,5,15,0.826667,81,5,262.003
Adult,IGR,5,16,0.79,119,5,222.72
Adult,IGR,5,17,0.818333,76,5,259.078
Adult,IGR,5,18,0.826667,71,5,303.578
Adult,IGR,5,19,0.796667,70,5,264.694
Adult,IGR,5,20,0.813333,60,5,254.1
Iris,IGR,5,1,0.9,15,5,20.869
Iris,IGR,5,2,0.933333,17,5,3.508
Iris,IGR,5,3,0.933333,15,5,19.997
Iris,IGR,5,4,1,15,5,14.688
Iris,IGR,5,5,0.933333,15,5,8.942
Iris,IGR,5,6,0.9,15,5,17.94
Iris,IGR,5,7,0.966667,15,5,13.681
Iris,IGR,5,8,0.933333,15,5,8.157
Iris,IGR,5,9,0.866667,15,5,9.485
Iris,IGR,5,10,0.933333,15,5,0
Iris,IGR,5,11,0.933333,17,5,8.304
Iris,IGR,5,12,0.933333,15,5,9.393
Iris,IGR,5,13,0.833333,25,5,8.836
Iris,IGR,5,14,0.9,15,5,6.109
Iris,IGR,5,15,0.833333,15,5,1.674
Iris,IGR,5,16,1,15,5,6.629
Iris,IGR,5,17,0.9,15,5,8.104
Iris,IGR,5,18,0.966667,15,5,8.056
Iris,IGR,5,19,1,15,5,7.752
Iris,IGR,5,20,0.933333,17,5,0
Adult,IGR,7,1,0.795,239,7,328.544
Adult,IGR,7,2,0.791667,239,7,303.025
Adult,IGR,7,3,0.806667,302,7,365.764
Adult,IGR,7,4,0.815,230,7,294.644
Adult,IGR,7,5,0.796667,259,7,318.348
Adult,IGR,7,6,0.83,270,7,333.309
Adult,IGR,7,7,0.8,238,7,298.555
Adult,IGR,7,8,0.818333,335,7,350.867
Adult,IGR,7,9,0.828333,291,7,383.423
Adult,IGR,7,10,0.821667,250,7,326.505
Adult,IGR,7,11,0.818333,254,7,310.733
Adult,IGR,7,12,0.8,244,7,301.631
Adult,IGR,7,13,0.78,331,7,344.575
Adult,IGR,7,14,0.788333,296,7,325.688
Adult,IGR,7,15,0.813333,285,7,345.386
Adult,IGR,7,16,0.811667,312,7,326.692
